Part,Encounter,Monster Name,CR,AC,HP,Speed,STR,DEX,CON,INT,WIS,CHA,Senses,Primary Attack,Atk Bonus,Damage,Special Abilities,DM Notes
Part I-A - Mother of Spiders,Cabin (roleplay; non-hostile unless provoked),Aani of the Web,CR 0,10,10,20 ft.,6 (-2),12 (+1),6 (-2),10 (+0),16 (+3),12 (+1),Tremorsense 10 ft. (through spider-kin),Bite (only in extremis),+3,1d4+1 piercing; DC 11 Con or 1d6 poison (half on save),"Fractured Soul: disadvantage on Con saves; DC 13 Arcana reveals the Widow's Molar potential. Spider Kin: entering within 5 ft. = DC 12 Dex save or 1d4 spiders on you; DC 10 Wis or frightened 1 round. Totem Remnant: Tremorsense 10 ft. Spider Call (1/day): summons a Swarm of Spiders. Spider Shield (reaction; 1/short rest): gains 4 temp HP when damaged.","Will never attack willingly. Track HP using the Spiritual Health table in part-1a-mother-of-spiders.md - her HP represents soul integrity not combat health. Bite only triggers if she is at 3 HP or below and still being actively assaulted."
Part I-A - Mother of Spiders,Elder Weaver's Chamber (roleplay; combat only if attacked),The Elder Weaver,CR 6,15,114 (12d12+48),30 ft. / climb 40 ft.,20 (+5),16 (+3),18 (+4),14 (+2),18 (+4),16 (+3),"Blindsight 60 ft., Tremorsense 120 ft. (web), Darkvision 60 ft.","Leg Strike x2 + Bite (multiattack), or Leg Strike x2 + Web",+9,"Leg Strike: 2d6+5 bludgeoning (DC 16 Str or prone) / Bite: 2d10+5 piercing (DC 16 Con or paralyzed until end of next turn) / Web (recharge 5-6): restrained (DC 16 Str to escape; webbing AC 10 / 15 HP / fire vulnerability)","Spider Climb. Web Sense. Web Walker. Ancient Presence: DC 16 Wis save or frightened 1 round (first unprovoked attack only). Paralytic Venom: source of Widow's Gift boon. Legendary Actions (3/round): Tighten (1) - restrained creature takes 2d6 bludgeoning / Shift (1) - half speed no OAs / Bite (2). Lair Actions (init 20): Silk Snare - DC 14 Dex or pulled 15 ft. + restrained / Web Veil - disadvantage on Perception for all but her.","Will not initiate combat. Prefers to restrain over kill. Has never lost a fight in her chamber - she knows it. Saves: Dex +7 / Con +8 / Wis +8 / Cha +7. Resist: Poison. Immune: Poisoned. Languages: understands all; speaks through chest vibration felt within 60 ft."
Part I-A - Mother of Spiders,The Blind Passage,Silk Worm,CR 1/8,10,4 (1d6+1),15 ft. / climb 15 ft.,6 (-2),10 (+0),12 (+1),1 (-5),6 (-2),1 (-5),Blindsight 30 ft. (blind beyond),Bite,+2,1 piercing + Acid Latch,"Drop (Round 1): DC 12 Dex save or latched. Acid Latch: 1d4 acid/turn (auto; no roll). Remove self: DC 12 Str (action). Ally removes: action. Total cover while attached - misses may hit host. Welt on removal: disadvantage on Concentration until short rest.","1 per PC; add 1-2 for larger or experienced groups. PCs cannot fight effectively while carrying Aani - fighting with her in arms = disadvantage on all attacks. Setting her down costs a bonus action. Aani's spider ring delays worm approach by 1 full round of movement."
Part I-A - Mother of Spiders,Any (if Aani is directly attacked or threatened),Spider Swarm,CR 1/2,12,22 (5d8),20 ft. / climb 20 ft.,3 (-4),13 (+1),10 (+0),1 (-5),7 (-2),1 (-5),Blindsight 10 ft.,Bites,+4,2d6 piercing (halved if swarm at half HP or below),"Swarm: can occupy another creature's space. Immune to most conditions. Resistance: B/P/S from non-magic weapons.","Defensive only - not a lethal fight. Triggered if players attack Aani directly or are loudly hostile. Use as a warning: walls ripple, ceiling swarms drop. Aani will never intentionally attack. These are not her kin; they are bound to her by presence alone."
Part III - The Mine,The Pit,Mine Guard,CR 1/2,12,16 (2d8+8),30 ft.,14 (+2),10 (+0),14 (+2),8 (-1),10 (+0),8 (-1),-,Pike,+4,1d10+2 piercing (reach 10 ft.),"Pack Intimidation: while 2+ guards are visible enemies have disadvantage on Charisma checks against them. Torch Club (bonus action): +4 to hit / 1d4 fire.","Improvised stat block - ex-prisoners with no formal training. Adjust HP and count to match party size and level. Guards know the terrain; use environmental pressure: steam causes Perception disadvantage; unstable ground near magma seams requires DC 12 Dex or fall prone."
Side Encounter - The Hollow Pack,Forest trail (before or after Part I-A),Vesh (Hollow Pack Leader),CR 3,14,52 (8d8+16),35 ft. (50 ft. wolf form),16 (+3),14 (+2),14 (+2),12 (+1),10 (+0),14 (+2),Darkvision 60 ft.,Shortsword (humanoid) or Bite + Claw (wolf; multiattack),+5,"Shortsword: 1d6+3 piercing / Bite: 2d6+3 piercing + DC 13 Str or prone / Claw: 1d6+3 slashing","Shapechanger (bonus action). Hollow Totem: resist B/P/S non-magic in hybrid form; nat 1 save = incapacitated until end of next turn. Pack Tactics. Keen Smell. Hollow Howl (recharge 5-6): DC 13 Wis or frightened 1 round (30 ft.). Reaction - Predator's Step: free attack vs. creature standing from prone.","Calls retreat at 20 HP or below - pack disengages and vanishes. Will not pursue beyond 200 ft. May attempt to recruit or intimidate before fighting. See side-encounter-the-hollow-pack.md. Saves: Str +5 / Dex +4."
Side Encounter - The Hollow Pack,Forest trail (flanking positions),Hollow Pack Hunter,CR 1/2,13,27 (5d8+5),30 ft.,14 (+2),13 (+1),12 (+1),8 (-1),10 (+0),8 (-1),Darkvision 60 ft.,Handaxe (multiattack x2),+4,1d6+2 slashing (melee or thrown 20/60 ft.),"Pack Tactics. Shifting Form (1/encounter; bonus action): claws deal 1d6+2 slashing until start of next turn.","Use 2 in encounter. Always try to flank - put a target between them and Vesh or the other Hunter. Retreats when Vesh calls it."
Side Encounter - The Hollow Pack,Trees (perimeter; enters round 2),Hollow Pack Watcher,CR 1/4,12,19 (3d8+6),30 ft. / fly 40 ft. (bird form),10 (+0),15 (+2),14 (+2),8 (-1),12 (+1),7 (-2),Darkvision 60 ft.,Shortsword or Talon (bird form),+4,"Shortsword: 1d6+2 piercing / Talon: 1d4+2 slashing + DC 12 Dex or blinded until end of next turn","Shapechanger (bonus action). Flyby: no opportunity attacks when flying out of reach.","Enters round 2 from behind or above. Targets whoever looks most distracted or isolated. Retreats when Vesh calls it."
Side Encounter - The Gorged,The Body Dump Site,The Gorged (Corrupted Cave Bear),CR 3,13,59 (7d10+21),40 ft.,20 (+5),10 (+0),16 (+3),2 (-4),8 (-1),5 (-3),Darkvision 60 ft.,Claws + Bite (multiattack),+7,Claws: 2d6+5 slashing / Bite: 2d8+5 piercing,"Keen Smell: advantage on Perception (smell). Feeding Trance: absorbed while feeding - group Stealth DC 13 to pass unnoticed. Corruption Swell: on death DC 13 Con save or poisoned until end of next turn. Resist: Cold / Necrotic. Immune: Frightened.","Does not vocalize. Does not retreat. Eyes reflect amber not white; blood is near-black. Can be avoided entirely with group Stealth DC 13 or a distraction (grants advantage). See side-encounter-the-gorged.md for full encounter. Place before Part I-A, after Part I-A, or after Part II."
Part III - The Mine,Beyond the Sealed Door (to be written),The Master in the Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Stat block not yet written. Confirmed: has Legendary Resistances; uses absorbed skinwalker totem magic. Soul Revolt mechanic (see part-1a-mother-of-spiders.md): Widow's Molar transmits on first hit. Each subsequent hit adds 1 Revolting Soul - stacking 1d8 psychic/soul at start of his turns. At 3 souls: burns 1 Legendary Resistance involuntarily. At 5: totem abilities flicker for 1 round. At 7: 30 ft. eruption - DC 15 Con or stunned. Sorcerer can Suppress as a Legendary Action (halts stacking for 1 round).","Build this stat block before the final encounter. CR should match party level at that time. Run the Soul Revolt counter openly on the table - it is the mechanical heart of the fight. Narrate each threshold: animal shapes pressing outward from beneath his skin."
